#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,        8, 0.07387480634583567,                5.0,                  5.0
             8.0,        9, 0.07615827425213209,                5.0,                  5.0
             5.0,        9, 0.07558697651058216,                5.0,                  5.0
             8.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.07528089214935363,                5.0,                  5.0
             7.0,        9, 0.0773263020994052,                5.0,                  5.0
             5.0,        9, 0.07558697651058216,                5.0,                  5.0
             8.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             7.0,        8, 0.07456079095455162,                5.0,                  5.0
             6.0,        9, 0.07850411692692927,                5.0,                  5.0
             6.0,        9, 0.0737383400014915,                5.0,                  5.0
             7.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        8, 0.07456079095455162,                5.0,                  5.0
             6.0,        9, 0.07850411692692927,                5.0,                  5.0
             5.0,        9, 0.07558697651058216,                5.0,                  5.0
             8.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             9.0,        8, 0.07322121526330243,  4.533887644430568,                  5.0
             6.0,        9, 0.07850411692692927,                5.0,                  5.0
             6.0,        9, 0.0737383400014915,                5.0,                  5.0
             6.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        8, 0.07688905841833478,                5.0,                  5.0
             6.0,        9, 0.07850411692692927,                5.0,                  5.0
             6.0,        9, 0.0737383400014915,                5.0,                  5.0
             4.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
