#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            12.0,        9, 0.07251806897794924,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            10.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            11.0,        9, 0.07334954876490285,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        8, 0.07259732973350268,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            11.0,        9, 0.06640713364717546,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        8, 0.0714328858508285,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            10.0,        9, 0.06769494861892845,                5.0,                  5.0
            11.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        8, 0.07200190915330604,                5.0,                  5.0
            10.0,        9, 0.07422899853956533,                5.0,                  5.0
            12.0,        9, 0.06526577876720598,                5.0,                  5.0
            12.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
