#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             9.0,       10, 0.07572695789712913,                5.0,                  5.0
             9.0,        9, 0.08525279118912563,                5.0,                  5.0
             9.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
