#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             8.0,        8, 0.04923459282500369,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             2.0,        6, 0.007599269060625321,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             2.0,        5, 0.012606551373706983,                5.0,                  5.0
             5.0,        7, 0.021002666939289632,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             3.0,        6, 0.021608884323593553,                5.0,                  5.0
             6.0,        9, 0.03121966393016208,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             2.0,        5, 0.012797182462652917,                5.0,                  5.0
             5.0,        7, 0.019883503934107344,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             3.0,        6, 0.012365454922987922,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             3.0,        5, 0.008901332859761812,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             4.0,        5, 0.012442904766896686,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             8.0,       10, 0.09434448684849377,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             8.0,        8, 0.02726450633292697,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             4.0,        6, 0.025493170635915507,                5.0,                  5.0
             2.0,        3, 0.0076517655464892476,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             4.0,        5, 0.012745165240083615,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             5.0,        9, 0.0340929676105699,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             5.0,        9, 0.0340929676105699,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             4.0,        5, 0.013861981804736944,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             8.0,        8, 0.04923459282500369,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             2.0,        6, 0.007599269060625321,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             2.0,        5, 0.012606551373706983,                5.0,                  5.0
             5.0,        7, 0.021002666939289632,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             3.0,        6, 0.021608884323593553,                5.0,                  5.0
             6.0,        9, 0.03121966393016208,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             2.0,        5, 0.012797182462652917,                5.0,                  5.0
             5.0,        7, 0.019883503934107344,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             3.0,        6, 0.012365454922987922,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             3.0,        5, 0.008901332859761812,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             7.0,       10, 0.09159717247299991,                5.0,                  5.0
             4.0,        5, 0.012442904766896686,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             8.0,       10, 0.09434448684849377,                5.0,                  5.0
             8.0,       10, 0.16095850946435922,                5.0,                  5.0
             6.0,        8, 0.06923275138147297,                5.0,                  5.0
             8.0,        8, 0.02726450633292697,                5.0,                  5.0
             7.0,       10, 0.1359268680611877,                5.0,                  5.0
             4.0,        6, 0.025493170635915507,                5.0,                  5.0
             2.0,        3, 0.0076517655464892476,                5.0,                  5.0
             6.0,        8, 0.10547700013502984,                5.0,                  5.0
             5.0,        8, 0.06126040780121782,                5.0,                  5.0
             4.0,        5, 0.012745165240083615,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             5.0,        9, 0.0340929676105699,                5.0,                  5.0
             3.0,        5, 0.02518416735320946,                5.0,                  5.0
             4.0,        8, 0.04849789707312524,                5.0,                  5.0
             5.0,        9, 0.0340929676105699,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             6.0,        8, 0.07323705187024508,                5.0,                  5.0
             4.0,        5, 0.013861981804736944,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             8.0,       10, 0.09694401530391528,                5.0,                  5.0
             8.0,        8, 0.04923459282500369,                5.0,                  5.0
             2.0,        5, 0.01499916532288624,                5.0,                  5.0
             3.0,        6, 0.02257223696122076,                5.0,                  5.0
             2.0,        6, 0.007599269060625321,                5.0,                  5.0
             5.0,        8, 0.07174553093162073,                5.0,                  5.0
             2.0,        5, 0.012606551373706983,                5.0,                  5.0
             5.0,        7, 0.021002666939289632,                5.0,                  5.0
